tech	technical movement, or a certain technique, which may be necessary to clear a level	: I think that’s the ~; I know this ~ (p 10cutE1byWM 13:33); a lil New Soup speedrun ~ there (r 3-SQkDPnf2M 13:09)	;: they don’t know about the ~!	said when doing something that the level creator wasn’t aware of	> cheese										
tech flub	messing up tech	: even with the ~, how much time does the Star save us? (r bpeM_cqa1_4 6:35); what a tech ~, man (r IisH5nDAZts 5:57)	> tech; flub												
technology	> tech	: we have the ~ (p AvGr3EAp0qI 22:28) (p PMitnCSeq9I 17:28); we have downloaded the ~ (p i6f4xewhmKY 24:38)	> download												
ten	10-Coin		> fifty; thirty												
ten years	(rays) a very long time	: this level is ~ long (r 8FzHzmFn3FE 4:22); it’s one of these levels that’s five thousand years long (r bJh9Sp1K5tE 15:40)	> five years												
the balls collided	said when two Spike balls or snowballs collide														
the promised land	the goal; said when riding an object	: take me to ~ (r 7M1a4wVLqhI 9:00)	> going the distance; ride												
the Toad	(rays) Toad	: ~ has the lead (r kJlr5SRyPMM 15:14); ~ was right there, man, ~ has been defeated on this day (r UrMCJFzrFTE 12:15); we must take out ~ (r kgfuuFkYVRw 13:08)	> the Toadette												
the Toadette	(rays) Toadette	: where is ~? (r -KU-qbiriIY 7:27); eliminate ~ (r D7xdB_HHFTM 4:55)	> the Toad												
thicc	Big Mushroom	: yo, we ~, though? (p JVLAFSrpZQE 18:13); ~ness; we get to be ~, with two c’s (p 10cutE1byWM 3:45); we got down the ~ness (p HHWaNzajseE 2:55)	> chonky; huge; wide												
thirty	30-Coin		> fifty; ten												
thread the needle	> holeage	: threaded the needle! (r PYtPjtCQ-dk 15:00) (r hPe_10sCa50 12:45)													
three-lifer	a level that gives three lives in Endless	: okay, ~ (p AD7Fx9TCPYM 16:29)	> juicer	: ~? (p HHWaNzajseE 2:31)											
throw	making mistakes; consistently playing badly	: I’m ~ing (p O7s4w4n9l8g 17:54); I’m actually ~ing; I kinda threw right there (p KohgQ4YCQu0 4:55); I think I win this unless I ~ (r IisH5nDAZts 2:13); dont ~! (r I5eCiy8nau0 0:35)	> tilt	;: ~ing for content; content ~ (r 5KHb2MS-vQE 12:20)	intentionally making mistakes to generate more video content										
thumbnail shot	an interesting situation which may become the thumbnail of a YouTube video, with the goal to make people engage more likely	: let’s get softlocked for a ~ (p HomzYjonHjg 18:32); don’t worry, it’s not a softlock, but I can use it as a ~ maybe (p 8DeYjI8B5KY 8:24)	> softlock												
THX	short for ‘thanks (for playing)’, written in blocks at the end of a level; Panga tends to like it when levels include this, and it’s a large determining factor in deciding whether the level gets a Like	: it has a ~, though; yo, ~ too? (p rD_lxY6w3Go 2:51)													
tilt	being annoyed, usually as a result of messing up simple things	: now I’m ~ed, I’m actually omega ~ed (p ViUIXNvZ6ig 16:14); maximum ~	> throw; untilt												
time-out banger	(mp) the song playing on the purple screen after a match ending in a time-out or a give-up	: ~! (r lxx_sd2k3EI 12:37); I’m gonna get a ~ here (p jEWb6B1oCPg 8:55)													
title screen level	one of the ten Nintendo-made levels that appear on the title screen of the game, which serve as defaults in the level editor; Panga tends to dislike remakes of title screen levels for the lack of creativity	: make your own levels!	> Boo												
Toads vs. Bros.	(mp) when, in a versus match, two players grab two other players, forming two teams: one of Toad and Toadette (Toads), the other of Mario and Luigi (Bros.)	: a lil ~ action, I’m down (r -KU-qbiriIY 3:42); 2-v-2, 2-v-2, a little ~? (r kJlr5SRyPMM 12:03)	> Bros. vs. Todds												
Todd	Toad	: hello, ~ (r k9a_0Az_wUo 5:43)	> the Toad; Toddette												
Toddette	Toadette	> the Toadette; Todd													
top	the top option when faced with a choice to pick the top or bottom path	: I’m a ~ (p ugyIPJoPiP4 27:09); ~skies; ~s; ~sies	> -skies; -ies	; the top of the flagpole	: we got denied the ~										
top row	> from the top row														
Touhou	a situation where many projectiles are flying through the air and the goal is to dodge them; referencing a game where this occurs a lot	: this is like ~, right? (r fWQQTIMgmts 11:11); I’m playing the dang ~s right now (r D8bJcRWgv3o 1:00)													
toxic	Super Hammer	: yo, we ~? (p 5aNKsVWCudQ 1:19); it looks like we’re gonna be ~ here (p yj2o9URvmdw 11:42)	; (mp) countering others, playing purely out of self-interest; e.g. grabbing the flag before others got the chance to catch up, causing them to lose more versus points	: I didn’t mean to touch the pole, that’s ~ (r IisH5nDAZts 8:04)	> gremlin										
troubles	> issues	: we’re having some ~													
true ending	ending the level with additional rewards, which are only given out when a condition is met, such having a key or being in a power-up state	> cake; flaccid													
tube	(rays) a pipe; a glass pipe	: into the ~ (r 8FzHzmFn3FE 6:30); into the ~ we go (r 8QJZ2qEafnI 13:07)	> tuber; tubes												
tuber	someone who watches the summaries on YouTube	: any ~s? (p DG7FT1VRLp8 6:10); the ~ commenters, man, they really find a way to poop on me for every not Like or Boo or Meh (p AD7Fx9TCPYM 15:29)	> tubes; Twitcher	; (rays) a glass pipe	: is this a ~ level? (r RVyXK-UKZP4 10:05); ~ moment (r D7xdB_HHFTM 7:55)										
tubes	YouTube	: that one’s for the ~ (p DG7FT1VRLp8 6:10)	> tuber; tube												
Twitcher	someone who watches the livestreams on Twitch		> tuber												
two-bucket	a two-tile wide gap in which a shell gets trapped bouncing back and forth, for the player to jump on	: ~ (p yPtRpvmdr2k 19:15) (p U0fbf4ItXg4 16:59)	> kaizo												
two-for-one special	hitting two enemies at the same time	: the ~! (r Zt7XhZ4AD4E 4:00) (p oand8mvTPPo 2:12) (p kY3N3FwDE1M 7:15)													
two-shot Pfizer	completing a level on the second try, referencing the two shots needed for a full vaccination with the Pfizer vaccine	> one-shot Johnson													
uno más	a level needing tech to clear it, often a glitch or a clever trick; it means ‘one more’ in Spanish, referencing Mario Maker streamer CarlSagan42’s former habit of not being able to stop playing such levels, and humourously saying ‘one more’ after each one	> tech													
untilt	to calm down; to stop being tilted	: give me a minute, I need to ~ my dude (r 3-SQkDPnf2M 3:30)	> tilt												
up-button	the up direction on the d-pad of the Pro Controller, which is sometimes accidentally triggered or released due to its design	: my ~ just destroyed me; up!; I got ~ed; okay, ~, thanks, buddy (p rD_lxY6w3Go 21:43)													
upset on the internet	very upset	: I’m ~	> on the internet												
vibe	when an enemy is vibing, it is just being present, without necessarily affecting gameplay	: I think these guys are just ~ing (p U0fbf4ItXg4 20:52); the Koopas are ~ing (p O_fnDCJ_Iow 14:04); he’s ~ing out (p GB1KgH0iZGY 6:21); I’m just gonna let him ~ (r I5eCiy8nau0 1:45); look at that Boo just ~ing (p kY3N3FwDE1M 4:54)													
vibe with	when you vibe with a level, you have a good feel for it	: I’m vibing with this level right now (r 79Bu_EyCrec 14:32); I’m feeling this level, man, I’m vibing with it (r FZBHEd99nrE 13:45); we vibe with this (p 10cutE1byWM 18:00); this level is a little chaotic, but I vibe with it (r 5rGSjMHHBaQ 4:25); this level looks very creative, I’m vibing with this level (p AD7Fx9TCPYM 18:33)													
W	(mp) the win	: it was the ~, dude! (r 5rGSjMHHBaQ 12:23); I will take the ~, thank you very much (r b1i1PgV0IPU 2:36); there it is, team, we got the ~ (r b1i1PgV0IPU 20:35); that is a spicy ~ (r IisH5nDAZts 2:19)	> dub												
we get to be	(+ adjective) we obtained	: ~ chonky	> we get to play as a												
we get to play as a	(+ noun) we obtained	: ~ Happy Meal	we obtained a Propeller Box	;: am I playing as a Goomba in Super Mario Maker 2? (r G36FVZjrhGE 34:58)	> we get to be										
we take those	said when obtaining helpful items, usually juice	> juice													
we’ll play Steve	we’ll play without cheating, without looking for shortcuts or cheese	: ~ (p YSqwBSajdHI 10:42) (p yPtRpvmdr2k 2:50) (p ViUIXNvZ6ig 1:08) (p HHWaNzajseE 5:58) (p 755a6Oyknyc 9:25)													
weapon	(mp) a shell, to be used offensively against another player	: we have a ~; he’s got a ~ (p O7s4w4n9l8g 12:40)													
Wendy’s four-for-four	Wendy; referencing the ‘Wendy’s 4 for $4’ fast food deal	: I don’t have time for the ~ (p yj2o9URvmdw 1:10)	> onion rings												
what a shot	said when something hits its target dead-on	: ~! (p ViUIXNvZ6ig 18:44) (p ifawl3ZG0WU 2:40)	> snipe												
what in the heck	(rays) exclamation of surprise	: ~? (r l1c5zXuwLVs 12:15) (r k9a_0Az_wUo 5:56) (r bpeM_cqa1_4 13:42)													
whiff	a mistake	: that was the biggest ~ of my life (p JVLAFSrpZQE 14:00)	; to make a mistake	: I kinda ~ed that (p O_fnDCJ_Iow 0:08)	> throw										
wide	Big Mushroom	> chonky; huge; thicc													
widepeepoHappy	Big Mushroom; is a Twitch emote	> wide													
William	> Bullet William; Banzai William	: we’re bringing the ~s out, heck ’em over, ~! (r GXxl1J5d_VM 15:28)													
winnable	(rays) when a match is winnable, you can win it, even if you’re not ahead	: ~! (r IisH5nDAZts 2:41); it’s always ~ (r D8bJcRWgv3o 1:10); it’s ~, we can still win this (r SFoGw42eDIU 1:06); this is ~, dude! (r IisH5nDAZts 4:57)													
wombo combo	an uninterrupted combination of attacks to defeat an enemy	: we can hit him with the ~ right here (p U0fbf4ItXg4 13:35)	; repeatedly jumping on enemies without touching the ground	> life-farm											
worth	worth it	: that was ~, actually (r KvI6_nBsR3E 9:50); actually kinda ~ (p kY3N3FwDE1M 11:30)													
yatta	an exclamation of extacy; is ‘hooray’ in Japanese	: ~, ~, ~! (p NFIEpZD3enk 1:00)													
yeet	> send	: or I say nomegalul and we go a lil ~skies (p plGhCvU_e-A 8:33)	> nomegalul	; to throw something far	: we got the ~ (r U54Q5Uvz7UY 6:35); one more ~ (p GB1KgH0iZGY 5:38); ~! (r I5eCiy8nau0 11:13); Toddette ~ed that hella (p kY3N3FwDE1M 18:40)										
yoink	steal	: did I just ~ that? I think I just ~ed it, dude (r 7Rayd5yokRs 12:33); a little ~ there (r D8bJcRWgv3o 11:04); you’re trying to ~ my power-up, lady? (r xlI1j2d9VJA 11:53); I just ~ed that guy’s power-up (r D8bJcRWgv3o 8:58); he got ~ed, though! (r SFoGw42eDIU 2:44); you really trying to ~ me, dude? (r IisH5nDAZts 2:59)	> yoinkage												
yoinkage	(rays) the act of yoinking; stealing something from under someone’s nose	: quick ~ (r nTO3melvADg 5:16); he got the mid-air ~ (r U54Q5Uvz7UY 0:45); a lil last-second ~ right there, dude, you love to see it (r k9a_0Az_wUo 1:15)	> yoink; -age												
Yoshman	Yoshi	: we’ll save the ~ (p rD_lxY6w3Go 2:51); we murdered the ~; he’s opting to go for the ~ (r hPe_10sCa50 10:31); she got the ~ (r 5rGSjMHHBaQ 12:07); I think this is where we part ways with the ~ (p KohgQ4YCQu0 13:15); hello ~, how are you doing? (p cPPd4sjMlw0 17:36)													
your boi	yours truly; myself	: ~! (r bpeM_cqa1_4 28:13) (p KlJDNTIOY8M 18:18); calculated by ~; tactical d-boost by ~ (p i6f4xewhmKY 18:40); ~’s got the schmoves; like ~ said (p HCUCGAJ4eDY 4:36); straight to the finish line for ~ (r ktKOfcIWK5U 6:35)	> your girl												
your girl	(occasionally) ‘your boi’ when playing as Toadette	: by ~ (p 0pvotLWcEs8 0:42); they’re accelerating a little bit earlier than ~ (r bpeM_cqa1_4 9:18)	> your boi												
zee	a Z indicator, usually made out of tracks, indicating that a trigger or shoulder button needs to be pressed to e.g. spin jump	: ~! that’s what we like to see; ~, good ~, huge fan (p AD7Fx9TCPYM 16:29)	> indicator												
zoom	to go fast	: we’re ~in’, dude! (r bpeM_cqa1_4 1:26)	> zoomer												
zoomer	something or someone going fast	: he’s a ~! (p plGhCvU_e-A 9:15); these guys are ~s, what the heck? (p KlJDNTIOY8M 10:28)	> zoom												
